epoch,train_loss,train_acc,val_loss,val_acc,cm_true_Actinic keratoses_pred_Actinic keratoses,cm_true_Basal cell carcinoma_pred_Actinic keratoses,cm_true_Benign keratosis-like lesions_pred_Actinic keratoses,cm_true_Dermatofibroma_pred_Actinic keratoses,cm_true_Melanocytic nevi_pred_Actinic keratoses,cm_true_Melanoma_pred_Actinic keratoses,cm_true_Squamous cell carcinoma_pred_Actinic keratoses,cm_true_Vascular lesions_pred_Actinic keratoses,cm_true_Actinic keratoses_pred_Basal cell carcinoma,cm_true_Basal cell carcinoma_pred_Basal cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Basal cell carcinoma,cm_true_Dermatofibroma_pred_Basal cell carcinoma,cm_true_Melanocytic nevi_pred_Basal cell carcinoma,cm_true_Melanoma_pred_Basal cell carcinoma,cm_true_Squamous cell carcinoma_pred_Basal cell carcinoma,cm_true_Vascular lesions_pred_Basal cell carcinoma,cm_true_Actinic keratoses_pred_Benign keratosis-like lesions,cm_true_Basal cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Benign keratosis-like lesions_pred_Benign keratosis-like lesions,cm_true_Dermatofibroma_pred_Benign keratosis-like lesions,cm_true_Melanocytic nevi_pred_Benign keratosis-like lesions,cm_true_Melanoma_pred_Benign keratosis-like lesions,cm_true_Squamous cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Vascular lesions_pred_Benign keratosis-like lesions,cm_true_Actinic keratoses_pred_Dermatofibroma,cm_true_Basal cell carcinoma_pred_Dermatofibroma,cm_true_Benign keratosis-like lesions_pred_Dermatofibroma,cm_true_Dermatofibroma_pred_Dermatofibroma,cm_true_Melanocytic nevi_pred_Dermatofibroma,cm_true_Melanoma_pred_Dermatofibroma,cm_true_Squamous cell carcinoma_pred_Dermatofibroma,cm_true_Vascular lesions_pred_Dermatofibroma,cm_true_Actinic keratoses_pred_Melanocytic nevi,cm_true_Basal cell carcinoma_pred_Melanocytic nevi,cm_true_Benign keratosis-like lesions_pred_Melanocytic nevi,cm_true_Dermatofibroma_pred_Melanocytic nevi,cm_true_Melanocytic nevi_pred_Melanocytic nevi,cm_true_Melanoma_pred_Melanocytic nevi,cm_true_Squamous cell carcinoma_pred_Melanocytic nevi,cm_true_Vascular lesions_pred_Melanocytic nevi,cm_true_Actinic keratoses_pred_Melanoma,cm_true_Basal cell carcinoma_pred_Melanoma,cm_true_Benign keratosis-like lesions_pred_Melanoma,cm_true_Dermatofibroma_pred_Melanoma,cm_true_Melanocytic nevi_pred_Melanoma,cm_true_Melanoma_pred_Melanoma,cm_true_Squamous cell carcinoma_pred_Melanoma,cm_true_Vascular lesions_pred_Melanoma,cm_true_Actinic keratoses_pred_Squamous cell carcinoma,cm_true_Basal cell carcinoma_pred_Squamous cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Squamous cell carcinoma,cm_true_Dermatofibroma_pred_Squamous cell carcinoma,cm_true_Melanocytic nevi_pred_Squamous cell carcinoma,cm_true_Melanoma_pred_Squamous cell carcinoma,cm_true_Squamous cell carcinoma_pred_Squamous cell carcinoma,cm_true_Vascular lesions_pred_Squamous cell carcinoma,cm_true_Actinic keratoses_pred_Vascular lesions,cm_true_Basal cell carcinoma_pred_Vascular lesions,cm_true_Benign keratosis-like lesions_pred_Vascular lesions,cm_true_Dermatofibroma_pred_Vascular lesions,cm_true_Melanocytic nevi_pred_Vascular lesions,cm_true_Melanoma_pred_Vascular lesions,cm_true_Squamous cell carcinoma_pred_Vascular lesions,cm_true_Vascular lesions_pred_Vascular lesions
1,1.922992145858669,0.4337182903958148,1.5038339715552642,0.6026097271648873,23,18,18,0,9,8,4,0,51,225,85,7,110,69,41,11,5,26,45,2,34,27,6,3,0,0,0,0,0,0,0,0,0,40,61,13,992,115,8,5,7,19,49,1,141,231,1,0,0,3,3,0,0,2,2,0,0,1,1,0,1,0,0,6
2,1.6351904942445488,0.5885894778402921,1.1857307237238222,0.6449189402926058,29,25,24,0,9,11,4,0,42,242,50,6,76,43,36,7,7,18,64,3,46,24,5,0,0,0,3,4,2,1,0,1,0,16,49,6,1004,107,6,0,7,26,62,2,139,263,3,0,1,4,6,1,2,2,8,0,0,1,4,1,9,1,0,17
3,1.4281744719575349,0.6122791432237686,1.0548858594498458,0.6611308817714512,47,50,31,1,17,14,9,0,25,220,37,5,51,28,25,3,9,19,84,3,53,31,6,0,0,2,6,4,10,4,1,1,0,11,46,5,1018,106,3,0,5,19,51,1,124,265,5,0,0,6,3,1,0,1,13,0,0,5,4,3,14,3,0,21
4,1.2939094387288272,0.6330076004343105,1.0170853651526794,0.6551996836694346,53,50,28,1,14,11,9,0,15,208,25,2,44,18,15,2,11,17,110,1,71,41,7,0,0,8,9,8,17,6,2,0,0,6,29,2,953,82,1,0,4,15,48,2,164,279,5,0,3,21,9,4,2,8,23,0,0,7,4,3,22,7,0,23
5,1.1900748342390346,0.6417925180140164,0.9404468536612638,0.675365757216291,52,41,25,1,11,11,9,0,15,204,21,1,23,18,14,1,12,13,122,1,68,37,6,0,0,10,9,14,21,6,2,0,0,10,30,1,988,89,2,0,3,16,43,2,146,279,4,0,4,27,7,1,3,5,25,0,0,11,5,2,27,7,0,24
6,1.1230480763827717,0.6544270062185371,0.9278438355009184,0.6682483194938711,49,34,27,1,8,9,6,0,12,216,20,1,26,20,16,1,9,13,126,0,82,40,6,0,1,11,8,15,30,8,2,0,0,4,26,0,956,81,2,0,3,14,37,2,151,277,3,0,12,30,14,2,6,11,27,0,0,10,4,2,28,6,0,24
7,1.052892684371718,0.6644457605369658,0.877077834073052,0.6824831949387109,51,36,30,1,11,16,8,0,12,223,19,1,34,22,14,1,9,12,126,0,71,36,6,0,1,6,8,16,17,8,2,0,0,5,26,0,996,89,2,0,3,7,32,2,127,263,3,0,10,35,16,1,6,12,27,0,0,8,5,2,25,6,0,24
8,1.007234649901305,0.6717994274997532,0.8429528340821023,0.6923685251087386,45,24,24,1,10,9,6,0,14,235,16,1,35,20,12,1,11,10,135,0,75,38,6,0,1,8,8,17,20,6,1,0,0,5,23,0,978,80,2,0,3,8,34,2,144,285,3,0,12,35,18,1,5,10,32,0,0,7,4,1,20,4,0,24
9,0.957071360507683,0.6832000789655512,0.8469179909530483,0.6955318307631475,52,28,24,1,12,13,8,0,12,237,14,1,34,25,10,1,10,17,155,0,97,42,7,0,1,8,9,17,22,9,2,0,0,3,16,0,969,74,0,0,1,4,26,2,130,274,4,0,10,29,14,1,4,12,31,0,0,6,4,1,19,3,0,24
10,0.926006129670268,0.6869509426512684,0.7991734214831172,0.708185053380783,56,33,23,1,14,14,8,0,8,225,11,0,26,12,10,0,11,13,149,0,74,38,6,0,3,15,14,19,25,12,3,0,0,7,20,0,999,80,2,0,3,9,30,2,129,288,3,0,5,22,12,0,2,6,30,0,0,8,3,1,18,2,0,25
