epoch,train_loss,train_acc,val_loss,val_acc,cm_true_Actinic keratoses_pred_Actinic keratoses,cm_true_Basal cell carcinoma_pred_Actinic keratoses,cm_true_Benign keratosis-like lesions_pred_Actinic keratoses,cm_true_Dermatofibroma_pred_Actinic keratoses,cm_true_Melanocytic nevi_pred_Actinic keratoses,cm_true_Melanoma_pred_Actinic keratoses,cm_true_Squamous cell carcinoma_pred_Actinic keratoses,cm_true_Vascular lesions_pred_Actinic keratoses,cm_true_Actinic keratoses_pred_Basal cell carcinoma,cm_true_Basal cell carcinoma_pred_Basal cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Basal cell carcinoma,cm_true_Dermatofibroma_pred_Basal cell carcinoma,cm_true_Melanocytic nevi_pred_Basal cell carcinoma,cm_true_Melanoma_pred_Basal cell carcinoma,cm_true_Squamous cell carcinoma_pred_Basal cell carcinoma,cm_true_Vascular lesions_pred_Basal cell carcinoma,cm_true_Actinic keratoses_pred_Benign keratosis-like lesions,cm_true_Basal cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Benign keratosis-like lesions_pred_Benign keratosis-like lesions,cm_true_Dermatofibroma_pred_Benign keratosis-like lesions,cm_true_Melanocytic nevi_pred_Benign keratosis-like lesions,cm_true_Melanoma_pred_Benign keratosis-like lesions,cm_true_Squamous cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Vascular lesions_pred_Benign keratosis-like lesions,cm_true_Actinic keratoses_pred_Dermatofibroma,cm_true_Basal cell carcinoma_pred_Dermatofibroma,cm_true_Benign keratosis-like lesions_pred_Dermatofibroma,cm_true_Dermatofibroma_pred_Dermatofibroma,cm_true_Melanocytic nevi_pred_Dermatofibroma,cm_true_Melanoma_pred_Dermatofibroma,cm_true_Squamous cell carcinoma_pred_Dermatofibroma,cm_true_Vascular lesions_pred_Dermatofibroma,cm_true_Actinic keratoses_pred_Melanocytic nevi,cm_true_Basal cell carcinoma_pred_Melanocytic nevi,cm_true_Benign keratosis-like lesions_pred_Melanocytic nevi,cm_true_Dermatofibroma_pred_Melanocytic nevi,cm_true_Melanocytic nevi_pred_Melanocytic nevi,cm_true_Melanoma_pred_Melanocytic nevi,cm_true_Squamous cell carcinoma_pred_Melanocytic nevi,cm_true_Vascular lesions_pred_Melanocytic nevi,cm_true_Actinic keratoses_pred_Melanoma,cm_true_Basal cell carcinoma_pred_Melanoma,cm_true_Benign keratosis-like lesions_pred_Melanoma,cm_true_Dermatofibroma_pred_Melanoma,cm_true_Melanocytic nevi_pred_Melanoma,cm_true_Melanoma_pred_Melanoma,cm_true_Squamous cell carcinoma_pred_Melanoma,cm_true_Vascular lesions_pred_Melanoma,cm_true_Actinic keratoses_pred_Squamous cell carcinoma,cm_true_Basal cell carcinoma_pred_Squamous cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Squamous cell carcinoma,cm_true_Dermatofibroma_pred_Squamous cell carcinoma,cm_true_Melanocytic nevi_pred_Squamous cell carcinoma,cm_true_Melanoma_pred_Squamous cell carcinoma,cm_true_Squamous cell carcinoma_pred_Squamous cell carcinoma,cm_true_Vascular lesions_pred_Squamous cell carcinoma,cm_true_Actinic keratoses_pred_Vascular lesions,cm_true_Basal cell carcinoma_pred_Vascular lesions,cm_true_Benign keratosis-like lesions_pred_Vascular lesions,cm_true_Dermatofibroma_pred_Vascular lesions,cm_true_Melanocytic nevi_pred_Vascular lesions,cm_true_Melanoma_pred_Vascular lesions,cm_true_Squamous cell carcinoma_pred_Vascular lesions,cm_true_Vascular lesions_pred_Vascular lesions
1,2.0450496392710846,0.2734182213009574,1.9186746017317284,0.2234084618426255,14,40,24,0,138,17,13,1,22,54,23,3,49,29,8,1,20,123,92,17,523,120,22,13,6,33,26,0,49,13,9,4,2,3,22,0,201,52,0,0,16,56,61,1,267,197,6,3,6,17,7,0,9,8,4,0,0,6,7,2,51,16,0,3
2,1.929181111293112,0.3541111440134241,1.8428344396604008,0.3404507710557533,17,42,12,1,42,11,10,0,17,102,60,16,302,58,17,10,4,23,20,0,112,39,3,1,4,26,11,0,36,15,1,2,1,11,51,1,544,107,5,4,17,52,54,1,117,164,11,0,26,75,50,4,119,51,14,8,0,1,4,0,15,7,1,0
3,1.8872719772499085,0.378146283683743,1.6565959673240849,0.4147884539343614,16,36,21,3,38,15,6,0,32,119,61,4,141,46,9,1,6,40,29,2,91,34,4,2,0,0,0,0,0,0,0,0,3,16,67,2,677,135,10,4,16,50,46,1,140,177,11,1,13,60,28,8,90,23,20,6,0,11,10,3,110,22,2,11
4,1.8410157216594245,0.3893001678017965,1.8026448813008904,0.2854883353103993,4,18,8,0,19,4,6,0,15,27,19,1,20,10,5,0,10,79,80,5,315,136,11,5,0,0,0,0,0,0,0,0,0,5,16,0,391,46,1,1,15,45,48,1,169,185,9,3,41,148,87,15,300,59,28,9,1,10,4,1,73,12,2,7
5,1.8030425710205549,0.3932484453657092,1.5460653158929236,0.4183471727955714,29,76,46,2,89,58,17,1,36,142,79,14,150,44,23,6,12,69,65,4,188,90,12,7,0,0,0,0,0,0,0,0,2,10,19,1,621,61,5,5,6,30,52,1,233,199,4,5,1,3,1,0,1,0,1,0,0,2,0,1,5,0,0,1
6,1.7759828926156462,0.4094363833777514,1.5728975058827488,0.3910636615262949,38,127,61,4,87,37,17,0,4,22,8,1,19,4,2,1,11,71,75,3,144,75,6,3,0,0,0,0,0,0,0,0,4,24,24,0,603,79,5,1,19,45,66,3,218,221,14,1,7,19,12,5,7,8,11,0,3,24,16,7,209,28,7,19
7,1.7374697353912594,0.4293258316059619,1.543412800596938,0.4167655199683669,8,13,4,0,7,4,4,0,43,186,78,9,155,60,23,8,7,56,59,5,211,76,14,3,0,0,0,0,4,0,0,0,2,11,20,0,521,41,0,0,19,52,81,1,337,262,12,3,7,7,14,6,13,7,7,0,0,7,6,2,39,2,2,11
8,1.7259646993130078,0.4358898430559668,1.474542686900587,0.4741004349545274,27,46,27,1,37,18,15,0,36,189,90,10,172,89,18,4,3,33,47,2,134,49,8,1,0,0,2,0,2,0,0,0,5,22,30,2,710,83,5,0,9,24,51,2,181,201,7,1,5,6,9,4,2,8,6,0,1,12,6,2,49,4,3,19
9,1.7071820195224134,0.4389497581679992,1.511921716613136,0.4693554764729142,22,39,25,1,36,20,11,0,42,208,96,12,210,76,21,8,1,20,38,1,83,45,6,0,0,0,0,1,1,0,0,0,4,15,25,2,677,73,4,0,12,35,58,2,199,220,12,1,5,6,10,3,4,2,5,0,0,9,10,1,77,16,3,16
10,1.6764238169346,0.4585924390484651,1.5267653086290098,0.4345591142744168,9,16,6,0,4,1,2,0,15,97,29,1,74,28,6,2,16,61,85,6,151,97,10,1,1,13,3,3,30,1,1,1,2,18,30,0,685,88,5,0,15,33,45,1,121,176,10,1,28,70,43,8,56,30,24,0,0,24,21,4,166,31,4,20
