epoch,train_loss,train_acc,val_loss,val_acc,cm_true_Actinic keratoses_pred_Actinic keratoses,cm_true_Basal cell carcinoma_pred_Actinic keratoses,cm_true_Benign keratosis-like lesions_pred_Actinic keratoses,cm_true_Dermatofibroma_pred_Actinic keratoses,cm_true_Melanocytic nevi_pred_Actinic keratoses,cm_true_Melanoma_pred_Actinic keratoses,cm_true_Squamous cell carcinoma_pred_Actinic keratoses,cm_true_Vascular lesions_pred_Actinic keratoses,cm_true_Actinic keratoses_pred_Basal cell carcinoma,cm_true_Basal cell carcinoma_pred_Basal cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Basal cell carcinoma,cm_true_Dermatofibroma_pred_Basal cell carcinoma,cm_true_Melanocytic nevi_pred_Basal cell carcinoma,cm_true_Melanoma_pred_Basal cell carcinoma,cm_true_Squamous cell carcinoma_pred_Basal cell carcinoma,cm_true_Vascular lesions_pred_Basal cell carcinoma,cm_true_Actinic keratoses_pred_Benign keratosis-like lesions,cm_true_Basal cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Benign keratosis-like lesions_pred_Benign keratosis-like lesions,cm_true_Dermatofibroma_pred_Benign keratosis-like lesions,cm_true_Melanocytic nevi_pred_Benign keratosis-like lesions,cm_true_Melanoma_pred_Benign keratosis-like lesions,cm_true_Squamous cell carcinoma_pred_Benign keratosis-like lesions,cm_true_Vascular lesions_pred_Benign keratosis-like lesions,cm_true_Actinic keratoses_pred_Dermatofibroma,cm_true_Basal cell carcinoma_pred_Dermatofibroma,cm_true_Benign keratosis-like lesions_pred_Dermatofibroma,cm_true_Dermatofibroma_pred_Dermatofibroma,cm_true_Melanocytic nevi_pred_Dermatofibroma,cm_true_Melanoma_pred_Dermatofibroma,cm_true_Squamous cell carcinoma_pred_Dermatofibroma,cm_true_Vascular lesions_pred_Dermatofibroma,cm_true_Actinic keratoses_pred_Melanocytic nevi,cm_true_Basal cell carcinoma_pred_Melanocytic nevi,cm_true_Benign keratosis-like lesions_pred_Melanocytic nevi,cm_true_Dermatofibroma_pred_Melanocytic nevi,cm_true_Melanocytic nevi_pred_Melanocytic nevi,cm_true_Melanoma_pred_Melanocytic nevi,cm_true_Squamous cell carcinoma_pred_Melanocytic nevi,cm_true_Vascular lesions_pred_Melanocytic nevi,cm_true_Actinic keratoses_pred_Melanoma,cm_true_Basal cell carcinoma_pred_Melanoma,cm_true_Benign keratosis-like lesions_pred_Melanoma,cm_true_Dermatofibroma_pred_Melanoma,cm_true_Melanocytic nevi_pred_Melanoma,cm_true_Melanoma_pred_Melanoma,cm_true_Squamous cell carcinoma_pred_Melanoma,cm_true_Vascular lesions_pred_Melanoma,cm_true_Actinic keratoses_pred_Squamous cell carcinoma,cm_true_Basal cell carcinoma_pred_Squamous cell carcinoma,cm_true_Benign keratosis-like lesions_pred_Squamous cell carcinoma,cm_true_Dermatofibroma_pred_Squamous cell carcinoma,cm_true_Melanocytic nevi_pred_Squamous cell carcinoma,cm_true_Melanoma_pred_Squamous cell carcinoma,cm_true_Squamous cell carcinoma_pred_Squamous cell carcinoma,cm_true_Vascular lesions_pred_Squamous cell carcinoma,cm_true_Actinic keratoses_pred_Vascular lesions,cm_true_Basal cell carcinoma_pred_Vascular lesions,cm_true_Benign keratosis-like lesions_pred_Vascular lesions,cm_true_Dermatofibroma_pred_Vascular lesions,cm_true_Melanocytic nevi_pred_Vascular lesions,cm_true_Melanoma_pred_Vascular lesions,cm_true_Squamous cell carcinoma_pred_Vascular lesions,cm_true_Vascular lesions_pred_Vascular lesions
1,1.37129916403821,0.599595301549699,0.9166229126857834,0.6646896006326611,32,9,9,0,2,10,3,0,23,272,24,2,76,44,22,2,13,12,174,2,139,59,7,0,1,1,3,13,13,4,1,0,0,2,12,0,888,68,0,0,2,3,28,1,151,254,4,0,15,28,10,4,2,10,25,0,0,5,2,1,16,3,0,23
2,0.9828596777346912,0.680633698549008,0.7849043318512011,0.7117437722419929,36,12,18,1,5,11,4,0,19,272,13,0,47,34,16,0,15,9,185,0,100,50,4,0,0,1,3,19,22,3,0,0,0,1,12,0,962,73,0,0,2,3,17,1,118,265,2,0,14,23,12,1,7,14,36,0,0,11,2,1,26,2,0,25
3,0.8529085651593116,0.7159214292764782,0.6082918172817826,0.7880585211546066,61,20,16,1,7,6,4,0,7,262,10,0,24,13,11,0,6,11,186,0,54,31,7,0,1,1,0,20,4,1,2,0,2,10,18,0,1114,102,0,0,2,10,24,1,80,294,7,0,7,15,7,1,2,5,31,0,0,3,1,0,2,0,0,25
4,0.7536739248125295,0.7472115289704866,0.6907975488795669,0.741795175958877,63,18,20,1,7,12,5,0,10,274,7,0,28,14,12,0,4,6,179,0,56,23,5,0,0,3,2,20,14,3,2,0,0,5,10,0,930,45,0,0,3,8,32,1,248,349,2,0,6,18,11,1,3,6,36,0,0,0,1,0,1,0,0,25
5,0.6876320636436577,0.7658671404599743,0.6492427913350531,0.7580071174377224,61,12,17,1,6,5,3,0,10,278,6,0,37,23,8,0,4,6,197,0,70,32,5,0,0,0,0,22,7,1,0,0,0,2,8,0,968,56,0,0,1,6,19,0,193,322,2,0,10,26,13,0,4,13,44,0,0,2,2,0,2,0,0,25
6,0.6204171155382386,0.7814134833678807,0.6002980822497687,0.7781731909845789,68,26,20,1,7,8,9,0,4,255,4,0,13,5,5,0,4,13,193,0,51,28,6,0,0,2,0,21,6,0,1,0,1,6,10,0,1017,58,0,0,4,9,28,1,187,351,3,0,5,16,5,0,1,2,38,0,0,5,2,0,5,0,0,25
7,0.5708227881231609,0.7958246964761623,0.5468466698487402,0.800711743772242,59,10,12,1,5,7,5,0,8,280,6,0,18,11,8,0,9,9,199,0,49,32,4,0,0,4,0,21,3,0,1,0,0,7,11,0,1076,75,0,0,4,8,23,1,132,324,3,0,6,13,9,0,3,3,41,0,0,1,2,0,1,0,0,25
8,0.5192884034187142,0.8098904352976014,0.5746041740318072,0.7829181494661922,40,7,8,1,5,2,3,0,9,275,4,0,18,11,5,0,17,13,201,0,51,37,6,0,0,3,3,21,6,0,0,0,1,3,11,0,1043,68,0,0,5,7,26,1,161,329,2,0,14,24,8,0,2,5,46,0,0,0,1,0,1,0,0,25
9,0.4825160664198941,0.8176389300167802,0.5354078191791184,0.8034796362198497,65,18,12,1,7,6,6,0,6,287,6,0,18,10,3,0,4,11,203,0,49,28,7,0,0,1,0,20,0,0,0,0,2,3,8,0,1038,55,0,0,4,8,24,1,169,351,3,0,5,4,7,1,4,2,43,0,0,0,2,0,2,0,0,25
10,0.4411898644582391,0.8298292369953608,0.5608009652955201,0.8133649663898774,61,13,15,1,6,10,3,0,4,278,5,0,22,15,3,0,5,6,219,0,52,42,7,0,0,3,0,22,4,1,0,0,2,1,8,0,1102,76,0,0,1,6,6,0,91,302,1,0,13,23,8,0,6,6,48,0,0,2,1,0,4,0,0,25
